Epoch_stopped,Eval Time,F Mean Rank,F-Hits@10,F-MRR,Hits@10,MRR,Mean Rank,Mode,Model,Train Time
2,14.66309666633606,454.9454650878906,0.018253316171467304,0.012904092669487,0.00663223402807489,0.005367874633520842,709.1453247070312,Train,RESCAL,54.95155429840088
2,131.41120624542236,431.26953125,0.04102305602282286,0.022588510066270828,0.003745933063328266,0.004387607332319021,731.54638671875,Test,RESCAL,54.95155429840088
5,14.645528793334961,122.27250671386719,0.08200786681845784,0.044982314109802246,0.02749735862016678,0.01748259924352169,276.0558776855469,Train,RESCAL_Pre_Norm,121.20702624320984
5,131.64522886276245,359.2660827636719,0.04100664146244526,0.023382531479001045,0.004596236860379577,0.00509662227705121,663.1722412109375,Test,RESCAL_Pre_Norm,121.20702624320984
16,14.498467922210693,346.67535400390625,0.03449642099440098,0.018097318708896637,0.0008363657689187676,0.003364213742315769,557.373046875,Train,DistMult,376.45826506614685
16,129.722350358963,487.0386962890625,0.01114095002412796,0.00880120787769556,0.0014166259206831455,0.0026649748906493187,804.205322265625,Test,DistMult,376.45826506614685
2,14.490783452987671,239.45199584960938,0.1687111184000969,0.08028203994035721,0.04400457814335823,0.025895746424794197,314.2037048339844,Train,DistMult_Pre_Norm,54.72942876815796
2,129.88050866127014,624.7642822265625,0.025527171790599823,0.015040401369333267,0.0037048953818157315,0.003954485524445772,766.3475952148438,Test,DistMult_Pre_Norm,54.72942876815796
7,16.990793228149414,92.06784057617188,0.11946824938058853,0.054618000984191895,0.025340415246319026,0.018512852489948273,205.38986206054688,Train,HolE,278.5214407444
7,151.70364117622375,629.7403564453125,0.012944972608238459,0.009802553802728653,0.0021142689511179924,0.0033123178873211145,756.7863159179688,Test,HolE,278.5214407444
2,16.9720356464386,149.53097534179688,0.05524416081607342,0.031762607395648956,0.01264819802599959,0.011656577698886395,274.9911193847656,Train,HolE_Pre_Norm,94.09216833114624
2,151.9420828819275,706.7301635742188,0.018851137720048428,0.01207202672958374,0.0026165720773860812,0.0038141258992254734,737.354248046875,Test,HolE_Pre_Norm,94.09216833114624
17,17.78869104385376,271.5414733886719,0.05069550359621644,0.028322642669081688,0.014585045262720087,0.010042957961559296,508.24822998046875,Train,ComplEX,1457.0767238140106
17,158.70737743377686,403.1847839355469,0.055474938824772835,0.029128510504961014,0.001872966589871794,0.003499092534184456,717.7100830078125,Test,ComplEX,1457.0767238140106
10,17.73963499069214,196.9064483642578,0.08348984736949205,0.03666342794895172,0.01891360451190849,0.011802878230810165,415.17706298828125,Train,ComplEX_Pre_Norm,883.5502440929413
10,158.6395184993744,390.1312561035156,0.0610478762537241,0.03032386302947998,0.0022357410052791238,0.0036216438747942448,705.8783569335938,Test,ComplEX_Pre_Norm,883.5502440929413
4,11.699729919433594,148.73565673828125,0.10152306407690048,0.041926946491003036,0.026514261960983276,0.01483855675905943,387.90185546875,Train,TransE,53.24510216712952
4,105.29002594947815,278.4055480957031,0.07686057314276695,0.037738438695669174,0.0039002354023978114,0.004831285215914249,581.5691528320312,Test,TransE,53.24510216712952
2,11.717592000961304,109.2901611328125,0.12554290518164635,0.05538913235068321,0.024049185100011528,0.017283128574490547,216.0608673095703,Train,TransE_Pre_Norm,29.423689603805542
2,105.22424745559692,477.2935485839844,0.015425299759954214,0.010193838737905025,0.004364783642813563,0.004239528439939022,765.3659057617188,Test,TransE_Pre_Norm,29.423689603805542
